id,Authority,Contact,contact_email,Contact_name,Indigenous Nation,Land Council,Latitude,Longitude,outfallName,State,Type
Ballina Shire Council,02 6686 7055,reception@jali.com.au,,Bundjalung,Jali Land Council,-28.8221330,153.6083800,Skennars Head (Lennox Head),New South Wales,Ocean
Barwon Water,03 5222 5889 or 0417 593 000,paul@wathcorp.com.au,"Paul Davis, CEO",Wathaurong,Wadawurrung Traditional Owners Aboriginal Corporation,-38.407325,144.200849,Anglesea WRP,Victoria,Ocean
Barwon Water,0429 544 343,marcus.clarke@easternmaar.com.au,Marcus Clarke (CEO),Gadubanud,Eastern Maar Aboriginal Corporation,-38.782708,143.660731,Apollo Bay WRP,Victoria,Ocean
Barwon Water,03 5222 5889 or 0417 593 000,paul@wathcorp.com.au,"Paul Davis, CEO",Wathaurong,Wadawurrung Traditional Owners Aboriginal Corporation,-38.294943,144.423203,Black Rock WRP,Victoria,Ocean
Barwon Water,0429 544 343,marcus.clarke@easternmaar.com.au,Marcus Clarke (CEO),Gadubanud,Eastern Maar Aboriginal Corporation,-38.5177123,143.990331,Lorne WRP,Victoria,Ocean
Bega Shire Council,02 4473 7288,admin@merrimanslalc.org.au,,Yuin,Merrimans Land Council,-36.443817,150.074317,Bermagui,New South Wales,Ocean
Bega Shire Council,02 6495 7177,ceo@edenlalc.org.au,,Bidwell/Yuin,Eden Land Council,-37.067034,149.912484,Eden,New South Wales,Ocean
Bega Shire Council,02 6495 7177,ceo@edenlalc.org.au,,Yuin,Eden Land Council,-36.919651,149.903538,Merimbula,New South Wales,Ocean
Bundaberg Regional Council,0487 345 763,reception@pccctrust.com.au,Lavinia Proctor,Gureng Gureng,"First Nations Bailai, Gurang, Gooreng Gooreng, Taribelang Bunda People Aboriginal Corporation",-24.801857,152.453455,Bargara,Queensland,Ocean
Bundaberg Regional Council,0487 345 763,reception@pccctrust.com.au,Lavinia Proctor,Gureng Gureng,"First Nations Bailai, Gurang, Gooreng Gooreng, Taribelang Bunda People Aboriginal Corporation",-24.86452,152.31683,Millbank,Queensland,River
Bundaberg Regional Council,0487 345 763,reception@pccctrust.com.au,Lavinia Proctor,Gureng Gureng,"First Nations Bailai, Gurang, Gooreng Gooreng, Taribelang Bunda People Aboriginal Corporation",-24.79641,152.38258,Rubyanna,Queensland,Ocean
Cairns Regional Council,07 4421 5700,reception@nqlc.com.au,,Yidinjdji,North Queensland Land Council,-16.99084,145.76284,Edmonton,Queensland,Estuarine
Cairns Regional Council,07 4421 5700,reception@nqlc.com.au,,Yidinjdji/Djabuganjdji,North Queensland Land Council,-16.8271,145.70909,Marlin Coast,Queensland,River
Cairns Regional Council,07 4421 5700,reception@nqlc.com.au,,Yidinjdji,North Queensland Land Council,-16.96163,145.76835,Southern WWTP (Woree),Queensland,River
Cassowary Coast Regional Council,07 4421 5700,reception@nqlc.com.au,,Djirbalngan,North Queensland Land Council,-17.53597,146.06157,Innisfail,Queensland,River
Central Coast Council,02 4351 2930,darkinjung@dlalc.org.au,,Kuring-gai,Darkinjung Land Council,-33.283167,151.577733,Norah Head (Toukley),New South Wales,Ocean
Central Coast Council,02 4351 2930,darkinjung@dlalc.org.au,,Kuring-gai,Darkinjung Land Council,-33.476843,151.441388,Winney Bay,New South Wales,Ocean
Central Coast Council,02 4351 2930,darkinjung@dlalc.org.au,,Kuring-gai,Darkinjung Land Council,-33.384367,151.486467,Wonga Point (Bateau Bay),New South Wales,Ocean
City Of Gold Coast,07 3224 1200,reception@qsnts.com.au,,Bundjalung,Queensland South Native Title Services Limited,-27.93403,153.42633,Coombabah,Queensland,Ocean
City Of Gold Coast,07 3224 1200,reception@qsnts.com.au,,Bundjalung,Queensland South Native Title Services Limited,-27.935735,153.428719,Elanora,Queensland,Ocean
City Of Gold Coast,07 3224 1200,reception@qsnts.com.au,,Bundjalung,Queensland South Native Title Services Limited,-27.93601,153.42948,Merrimac,Queensland,Ocean
City West Water,N/A,,,Wathaurong,N/A,-37.872,144.79,Altona,Victoria,Ocean
Clarence Valley Council,02 6646 1664,ceo@birrigangargle.org.au,,Gumbainggir,Birrigan Gargle Land Council,-29.419597,153.3482,Iluka,New South Wales,Ocean
Clarence Valley Council,02 6646 1664,ceo@birrigangargle.org.au,,Gumbainggir,Birrigan Gargle Land Council,-29.420279,153.348073,Yamba,New South Wales,Ocean
Coffs Harbour City Council,02 6652 8740,admin@coffsharbourlalc.com.au,,Gumbainggir,Coffs Harbour Land Council,-30.3227661,153.1319916,Coffs Harbour,New South Wales,Ocean
Douglas Shire Council,07 4421 5700,reception@nqlc.com.au,,Djabuganjdji,North Queensland Land Council,-16.49345,145.45983,Port Douglas,Queensland,Estuarine
Eurobodalla Shire Council,02 6777 1100,bblalc@bigpond.com,,Yuin,Batemans Bay Land Council,-35.762848,150.2192163,Batemans Bay,New South Wales,Ocean
Eurobodalla Shire Council,02 4474 5229,mogolalc2@gmail.com,,Yuin,Mogo Land Council,-35.835183,150.208117,Long Nose (Tomakin),New South Wales,Ocean
Eurobodalla Shire Council,02 4476 1144,wlalc@bigpond.net.au,,Yuin,Wagonga Land Council,-36.19315,150.1342,Narooma,New South Wales,Ocean
Gippsland Water,03 5152 5100,reception@glawac.com.au,,Kurnai,Gunaikurnai Land and Waters Aboriginal Corporation,-38.232825,147.384186,Delray Beach,Victoria,Ocean
Gippsland Water,03 5152 5100,reception@glawac.com.au,,Kurnai,Gunaikurnai Land and Waters Aboriginal Corporation,-38.4485831,147.1026041,McGaurans Beach,Victoria,Ocean
Gladstone Regional Council,0487 345 763,reception@pccctrust.com.au,Lavinia Proctor,Gureng Gureng/Bayali,"First Nations Bailai, Gurang, Gooreng Gooreng, Taribelang Bunda People Aboriginal Corporation",-23.84,151.2206,Gladstone,Queensland,Estuarine
Gladstone Regional Council,0487 345 763,reception@pccctrust.com.au,Lavinia Proctor,Gureng Gureng/Bayali,"First Nations Bailai, Gurang, Gooreng Gooreng, Taribelang Bunda People Aboriginal Corporation",-23.9047,151.2996,South Trees Inlet,Queensland,Estuarine
Gympie Regional Council,07 3224 1200,gubbigubbiinfo@gmail.com,,Gubbi Gubbi,Queensland South Native Title Services Limited,-25.91758,152.99361,Tin Can Bay,Queensland,Estuarine
Hinchinbrook Shire Council,07 4042 7000,reception@nqlc.com.au,,Nyawaygi,North Queensland Land Council,-18.52356,146.32809,Lucinda,Queensland,Ocean
Hunter Water,02 4971 4800,carolbahtlalc@hotmail.com,,Awabakal,Bahtabah Land Council,-33.05695,151.677767,Belmont,New South Wales,Ocean
Hunter Water,02 4033 8800,reception@worimi.org.au,,Worimi,Worimi Land Council,-32.763967,152.16125,Boulder Bay,New South Wales,Ocean
Hunter Water,02 4965 4532,reception@awabakallalc.com.au,,Awabakal,Awabakal Land Council,-32.970283,151.747217,Burwood beach (Newcastle),New South Wales,Ocean
Kempsey Shire Council,02 6562 8971,klalc1@bigpond.com,,Dainggatti,Kempsey Land Council,-31.182264,152.969025,Crescent Head,New South Wales,Ocean
Logan Water,07 3224 1200,reception@qsnts.com.au,,Bundjalung/Yuggera,Queensland South Native Title Services Limited,-27.71162,153.22953,Beenleigh,Queensland,River
Logan Water,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.6871,153.2034,Loganholme,Queensland,River
Mackay Regional Council,07 4042 7000,reception@nqlc.com.au,,Yuwi,North Queensland Land Council,-21.02161,149.13172,Mackay North (Bucasia),Queensland,River
Mackay Regional Council,07 4042 7000,reception@nqlc.com.au,,Yuwi,North Queensland Land Council,-21.20573,149.12505,Mackay Southern,Queensland,River
Melbourne Water,03 9770 1273,admin@bunuronglc.org.au,"Dan Turnbull, CEO",Boonwurrung,Bunurong Land Council Aboriginal Corporation,-38.440322,144.847849,Boags Rock (ETP),Victoria,Ocean
Melbourne Water,N/A,,,Wathaurong,N/A,-38.011269,144.581825,Werribee (Port Phillip Bay),Victoria,Ocean
MidCoast Council,02 6555 5411,ceo@forsterlalc.org.au,,Worimi,Forster Land Council,-32.2331944,152.5577024,Forster,New South Wales,Ocean
Port Arthur Historical Site Management Authority,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-43.144301,147.8584,Port Arthur,Tasmania,Estuarine
Port Macquarie-Hastings Shire,02 6584 9066,birpailalc@midcoast.com.au,,Biripi,Birpai Land Council,-31.662974,152.8221987,Camden Haven,New South Wales,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Larrakia,Northern Land Council,-12.459168,130.913019,Berrimah,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Yolngu,Northern Land Council,-12.047481,135.592878,Galiwinku,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Larrakia,Northern Land Council,-12.3589,130.9106,Leanyer Sanderson,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Larrakia,Northern Land Council,-12.4015,130.8223,Ludmilla,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Nakara,Northern Land Council,-12.03668,134.22955,Maningrida,Northern Territory,Ocean
Power and Water Corporation,08 8997 0797,office@tiwilandcouncil.com,,Tiwi,Tiwi Land Council,-11.43029,130.68298,Milikapiti,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Yolngu,Northern Land Council,-12.113603,134.918425,Milingimbi,Northern Territory,Ocean
Power and Water Corporation,08 8987 4006,admin@alcnt.com.au,,Warnindilyakwa,Anindilyakwa Land Council,-13.771056,136.201676,Milyakburra,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Iwaidja,Northern Land Council,-11.1388,132.57836,Minjilang,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Larrakia,Northern Land Council,-12.5037,130.94861,Palmerston,Northern Territory,Ocean
Power and Water Corporation,08 8997 0797,office@tiwilandcouncil.com,,Tiwi,Tiwi Land Council,-11.413302,130.419234,Pirlangimpi,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Maung,Northern Land Council,-11.66129,133.40197,Warruwi,Northern Territory,Ocean
Power and Water Corporation,08 8997 0797,office@tiwilandcouncil.com,,Tiwi,Tiwi Land Council,-11.75034,130.62814,Wurrumiyanga,Northern Territory,Ocean
Power and Water Corporation,08 8920 5100,reception@nlc.org.au,,Yolngu,Northern Land Council,-12.262541,136.901749,Yirrkala,Northern Territory,Ocean
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.58692,152.81226,Bundamba,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.60202,152.90603,Carole Park,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.50534,153.01344,Fairfield,Queensland,River
