Latitude,Longitude,Postcode,Region Type,Sector,Suburb,Type,﻿Name
-27.9277,153.36,4214,Major Cities,Non-Gov,Arundel,Combined,A B Paterson College
-33.67679,151.18715,2084,Major Cities,Non-Gov,Duffys Forest,Primary,A.G.B.U. Alexander Primary School
-37.8091,144.999,3067,Major Cities,Gov,Abbotsford,Primary,Abbotsford Primary School
-33.8527,151.131,2046,Major Cities,Gov,Abbotsford,Primary,Abbotsford Public School
-33.7199,151.111,2076,Major Cities,Non-Gov,Wahroonga,Combined,Abbotsleigh
-33.7162,151.113,2076,Major Cities,Non-Gov,Wahroonga,Primary,Abbotsleigh Junior School
-25.136,151.127,4627,Outer Regional,Gov,Abercorn,Primary,Abercorn State School
-32.1661,150.888,2336,Inner Regional,Gov,Aberdeen,Primary,Aberdeen Public School
-37.7566,144.896,3040,Major Cities,Gov,Essendon,Primary,Aberfeldie Primary School
-35.0781,138.595,5159,Major Cities,Gov,Aberfoyle Park,Primary,Aberfoyle Hub Primary School
-35.0732,138.595,5159,Major Cities,Gov,Aberfoyle Park,Secondary,Aberfoyle Park High School
-18.4748,145.884,4850,Remote,Gov,Abergowrie,Primary,Abergowrie State School
-32.8089,151.426,2326,Major Cities,Gov,Abermain,Primary,Abermain Public School
-27.5812,153.026,4110,Major Cities,Non-Gov,Acacia Ridge,Combined,Aboriginal & Islander Independent Community School
-23.7007,133.898,0871,Remote,Gov,Sadadeen,Special,Acacia Hill School
-27.5796,153.016,4110,Major Cities,Gov,Acacia Ridge,Primary,Acacia Ridge State School
-37.8037,144.974,3065,Major Cities,Non-Gov,Fitzroy,Secondary,Academy of Mary Immaculate
-33.3593,115.634,6230,Inner Regional,Gov,South Bunbury,Primary,Adam Road Primary School
-35.9933,148.777,2629,Outer Regional,Gov,Adaminaby,Primary,Adaminaby Public School
-32.9322,151.731,2289,Major Cities,Gov,Adamstown,Primary,Adamstown Public School
-37.8839,145.008,3185,Major Cities,Non-Gov,Elsternwick,Combined,Adass Israel School
-37.8769,144.998,3185,Major Cities,Non-Gov,Elsternwick,Combined,Adass Israel School - Glen Eira Road Campus
-37.8835,145.006,3185,Major Cities,Non-Gov,Elsternwick,Combined,Adass Israel School - Orrong Road Campus
-34.91691,138.60659,5000,Major Cities,Gov,Adelaide,Secondary,Adelaide Botanic High School
-34.873,138.673,5074,Major Cities,Gov,Campbelltown,Special,Adelaide East Education Centre
-34.9257,138.587,5000,Major Cities,Gov,Adelaide,Secondary,Adelaide High School
-34.923,138.604,5000,Major Cities,Non-Gov,Adelaide,Secondary,Adelaide International School
-34.6636,138.68494,5115,Major Cities,Gov,Munno Para West,Special,Adelaide North Special School
-13.2371,131.109,0846,Remote,Gov,Adelaide River,Combined,Adelaide River School
-34.8864,138.566,5008,Major Cities,Gov,West Croydon,Secondary,Adelaide Secondary School of English
-34.8012,138.494,5017,Major Cities,Gov,Taperoo,Special,Adelaide West Special Education Centre
-35.3123,148.063,2729,Inner Regional,Gov,Adelong,Primary,Adelong Public School
-38.3827,144.885,3940,Major Cities,Non-Gov,Rosebud West,Special,Advance College of Education Incorporated
-38.2973,145.185,3915,Major Cities,Non-Gov,Hastings,Special,Advance College of Education Incorporated - Hastings Hub
-38.2329,145.036,3931,Major Cities,Non-Gov,Mornington,Special,Advance College of Education Incorporated - Mornington Campus
-28.4591,153.27,2484,Inner Regional,Non-Gov,Terragon,Combined,Aetaomah School
-24.214,151.911,4677,Outer Regional,Gov,Agnes Water,Primary,Agnes Water State School
-37.7938,145.264,3136,Major Cities,Gov,Croydon,Primary,Ainslie Parklands Primary School
-35.2737,149.14,2612,Major Cities,Gov,Braddon,Primary,Ainslie School
-37.72345,144.665973,3336,Major Cities,Gov,Aintree,Primary,Aintree Primary School
-33.2005,137.99,5540,Outer Regional,Gov,Port Pirie,Primary,Airdale Primary School
-34.0869,150.827,2560,Major Cities,Gov,Campbelltown,Secondary,Airds High School
-38.4574,144.11,3231,Inner Regional,Gov,Aireys Inlet,Primary,Aireys Inlet Primary School
-38.0257,147.114,3851,Inner Regional,Gov,Airly,Primary,Airly Primary School
-19.6552,147.348,4807,Outer Regional,Gov,Airville,Primary,Airville State School
-37.6274,144.888,3059,Major Cities,Non-Gov,Greenvale,Combined,Aitken College
-37.582,144.906,3064,Major Cities,Gov,Craigieburn,Primary,Aitken Creek Primary School
-37.6022,144.907,3064,Major Cities,Gov,Craigieburn,Primary,Aitken Hill Primary School
-19.2965,146.763,4814,Outer Regional,Gov,Aitkenvale,Primary,Aitkenvale State School
-33.9695,150.878,2167,Major Cities,Gov,Glenfield,Special,Ajuga School
-33.93010482,150.9209231,2170,Major Cities,Non-Gov,Liverpool,Combined,Al Amanah College
-33.9172,151.028,2200,Major Cities,Non-Gov,Bankstown,Primary,"Al Amanah College, Bankstown campus"
-33.9262,151.081,2195,Major Cities,Non-Gov,Lakemba,Primary,Al Hikma College
-37.707,144.565,3338,Major Cities,Non-Gov,Melton South,Combined,Al Iman College
-33.9118,151.05,2190,Major Cities,Non-Gov,Greenacre,Primary,Al Noori Muslim School
-33.9112,151.049,2190,Major Cities,Non-Gov,Greenacre,Secondary,Al Noori Muslim School - Senior Campus
-33.9099,151.056,2190,Major Cities,Non-Gov,Greenacre,Combined,Al Sadiq College
-33.9041,151.024,2199,Major Cities,Non-Gov,Yagoona,Primary,Al Sadiq College Yagoona Campus
-37.6243,145.038,3076,Major Cities,Non-Gov,Epping,Combined,Al Siraat College
-33.9337,151.148,2205,Major Cities,Non-Gov,Arncliffe,Combined,Al Zahra College
-37.9083,144.741,3030,Major Cities,Gov,Point Cook,Combined,Alamanda K-9 College
-32.0442,115.937,6147,Major Cities,Non-Gov,Langford,Combined,Al-Ameen College
-12.3802,130.878,0810,Outer Regional,Gov,Alawa,Primary,Alawa Primary School
-37.7443,144.774,3021,Major Cities,Gov,Albanvale,Primary,Albanvale Primary School
-27.3573,152.969,4035,Major Cities,Gov,Albany Creek,Secondary,Albany Creek State High School
-27.3461,152.971,4035,Major Cities,Gov,Albany Creek,Primary,Albany Creek State School
