Related Water Authorities,﻿Name
,Awabakal
,Badtjala
,Banggarla
Bega Shire Council,Bidwell/Yuin
,Biripi
,Boonwurrung
,Buandig
Ballina Shire Council,Bundjalung
,Bundjalung/Yuggera
,Dainggatti
,Darumbal
,Djabuganjdji
Cassowary Coast Regional Council,Djirbalngan
,Eora
,Eora/Tharawal
,Gadubanud
,Giya
,Gubbi Gubbi
,Gugu-Badhun
,Gumbainggir
,Gunditjmara
Bundaberg Regional Council,Gureng Gureng
,Gureng Gureng/Bayali
,Iwaidja
,Kaurna
Central Coast Council,Kuring-gai
,Kurnai
,Larrakia
,Maung
,N/A
,Nakara
,Narangga
,Nhuwala
,Nuenonne
,Nukunu
,Nyawaygi
,Paredarerme
,Peerapper
,Pyemmairrener
,Tharawal
,Tiwi
,Tommeginne
,Tommeginne/Peerapper
,Toogee
,Tyerrernotepanner
,Wajuk
,Wardandi
,Wardandi/Kaniyang
,Warnindilyakwa
Barwon Water,Wathaurong
,Worimi
Cairns Regional Council,Yidinjdji
Cairns Regional Council,Yidinjdji/Djabuganjdji
,Yolngu
,Yuggera
,Yuggera/Gubbi Gubbi
Bega Shire Council,Yuin
,Yuwi
,jali
